IndicatorCode,Id,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
WHOSIS_000001,4394490,COUNTRY,BRA,YEAR,AMR,Americas,SEX,2005,SEX_MLE,NA,NA,NA,NA,NA,NA,69.8 [69.5-70.0],69.75536802,69.51084567,70.03966859,NA,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
WHOSIS_000001,4395428,COUNTRY,DEU,YEAR,EUR,Europe,SEX,2009,SEX_FMLE,NA,NA,NA,NA,NA,NA,82.4 [82.3-82.4],82.37435335,82.31527485,82.43343185,NA,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
WHOSIS_000001,4396219,COUNTRY,GNB,YEAR,AFR,Africa,SEX,2015,SEX_MLE,NA,NA,NA,NA,NA,NA,55.2 [54.2-56.4],55.15439389,54.15431468,56.37587738,NA,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
WHOSIS_000001,4396445,COUNTRY,LCA,YEAR,AMR,Americas,SEX,2003,SEX_FMLE,NA,NA,NA,NA,NA,NA,77.0 [76.8-77.3],77.02925365,76.77855003,77.27662048,NA,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
WHOSIS_000001,4397319,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,SEX,2021,SEX_BTSX,NA,NA,NA,NA,NA,NA,65.8 [65.1-66.6],65.76206783,65.11197258,66.62461083,NA,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
WHOSIS_000001,4398370,COUNTRY,TCD,YEAR,AFR,Africa,SEX,2014,SEX_BTSX,NA,NA,NA,NA,NA,NA,57.5 [56.5-58.6],57.46459955,56.48094122,58.60004907,NA,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
WHOSIS_000001,4399612,COUNTRY,FIN,YEAR,EUR,Europe,SEX,2020,SEX_FMLE,NA,NA,NA,NA,NA,NA,84.2 [84.1-84.3],84.15926945,84.12011038,84.26605257,NA,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
WHOSIS_000001,4399852,COUNTRY,FJI,YEAR,WPR,Western Pacific,SEX,2001,SEX_MLE,NA,NA,NA,NA,NA,NA,64.0 [63.7-64.3],64.03510422,63.74308963,64.33443563,NA,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
WHOSIS_000001,4399990,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,2018,SEX_FMLE,NA,NA,NA,NA,NA,NA,75.5 [74.7-76.2],75.51795579,74.74876649,76.20962422,NA,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
WHOSIS_000001,4401155,COUNTRY,CRI,YEAR,AMR,Americas,SEX,2011,SEX_BTSX,NA,NA,NA,NA,NA,NA,80.3 [80.2-80.4],80.26271645,80.1803304,80.39521269,NA,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
